Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Variacao 1/0,mm_5,mm_10,retorno_diario,retorno_acumulado,volatilidade_5d,vol_21d,vol_historica_anual,vol_historica
2022-12-05,109.401,111.922,112.15,109.27,"12,31M","-2,25%",1,111.1294,110.3115,-0.022542082127157803,-0.07735319170468824,0.018425039528778383,0.017842263696613653,0.2832371554060543,0.015786401225103774
2022-12-06,110.189,109.403,110.663,109.217,"13,44M","0,72%",0,110.98519999999999,110.42670000000001,0.007202859206040024,-0.07070749664763476,0.016031365531823837,0.017721190694840766,0.2813151810870035,0.015786401225103774
2022-12-07,109.069,110.188,110.247,108.612,"13,83M","-1,02%",0,110.3018,110.44949999999999,-0.010164353973627027,-0.08015315459674621,0.01371213854176512,0.01716814500551274,0.272535852941294,0.015786401225103774
2022-12-08,107.249,109.068,109.286,106.906,"14,92M","-1,67%",1,109.5664,109.9913,-0.01668668457581901,-0.0955023487640525,0.014163097509878611,0.017286347932286533,0.2744122662321946,0.015786401225103774
2022-12-09,107.52,107.25,108.566,107.089,"10,68M","0,25%",0,108.6856,109.84559999999999,0.0025268300869938365,-0.09321683688529425,0.012585045626340685,0.016794207015175127,0.2665997713721384,0.015786401225103774
2022-12-12,105.343,107.518,107.561,103.877,"15,48M","-2,02%",0,107.874,109.5017,-0.020247395833333237,-0.11157683452387968,0.011944643161055698,0.015788848973918444,0.2506402072376732,0.015786401225103774
2022-12-13,103.54,105.345,106.689,103.409,"17,70M","-1,71%",1,106.5442,108.76469999999999,-0.017115517879688236,-0.1267826570973155,0.009082705901682362,0.015079678039936237,0.2393824676675593,0.015786401225103774
2022-12-14,103.746,103.536,104.516,101.632,"24,92M","0,20%",0,105.4796,107.8907,0.0019895692485993877,-0.1250453307245326,0.011191281526589963,0.0148982712754008,0.2365027245569256,0.015786401225103774
2022-12-15,103.738,103.739,105.483,103.014,"15,57M","-0,01%",0,104.77740000000001,107.17190000000001,-7.711140670474403e-05,-0.12511279970988332,0.011140625718731112,0.01405272173445229,0.22308004171771809,0.015786401225103774
2022-12-16,102.856,103.737,104.018,102.248,"18,26M","-0,85%",1,103.84460000000001,106.2651,-0.008502188204900896,-0.13255125534480872,0.009909371098893734,0.014101575954495637,0.22385557841810244,0.015786401225103774
2022-12-19,104.74,102.859,105.107,102.77,"16,77M","1,83%",1,103.724,105.799,0.018316870187446543,-0.11666230929469612,0.013218295071377286,0.014793326567256779,0.2348367789619576,0.015786401225103774
2022-12-20,106.864,104.74,107.792,104.607,"19,13M","2,03%",1,104.38879999999999,105.4665,0.02027878556425433,-0.09874929368405949,0.012430934816647816,0.01542455144836399,0.24485716330255355,0.015786401225103774
2022-12-21,107.433,106.866,107.991,106.066,"17,63M","0,53%",1,105.1262,105.3029,0.005324524629435556,-0.09395056210098407,0.0122227760725784,0.015435873877028874,0.24503690128546085,0.015786401225103774
